Brand,Price,Horsepower,Fuel Efficiency
Brand B,48847,478,15.4
Brand Y,78694,441,33.4
Brand Y,49801,312,33.2
Brand D,45335,397,33.9
Brand E,32430,309,12.1
Brand B,98064,329,31.8
Brand C,87275,216,22.8
Brand A,98802,401,25.0
Brand B,52256,297,30.1
Brand Z,96902,239,15.7
Brand E,95399,474,11.4
Brand C,60855,293,16.9
Brand C,51127,281,15.3
Brand B,54795,267,20.3
Brand X,54119,252,15.9
Brand X,57501,429,33.1
Brand D,94023,422,21.2
Brand C,57088,187,26.9
Brand A,86984,126,18.2
Brand D,64732,386,33.4
Brand X,31892,344,15.7
Brand Z,31159,480,20.4
Brand A,42283,473,23.9
Brand C,48723,237,12.6
Brand A,69846,152,13.7
Brand Z,46725,161,14.7
Brand B,86990,174,10.4
Brand X,40206,385,32.0
Brand X,86117,212,27.8
Brand X,81274,355,29.5
Brand X,30183,415,21.0
Brand Z,34535,196,15.2
Brand C,35215,377,25.3
Brand E,72980,294,21.8
Brand Z,55921,443,11.0
Brand B,95051,225,12.4
